name2	name	chrom	txStart	-500000	500000
MSTO1	NR_046292.1	chr1	155579960	155079960	156079960
FCGR3B	NM_001244753.2	chr1	161592985	161092985	162092985
FCGR2B	NM_001190828.2	chr1	161617032	161117032	162117032
FCGR2A	NM_001136219.3	chr1	161475246	160975246	161975246
DCLRE1B	NM_001363690.2	chr1	114447947	113947947	114947947
RASSF5	NM_182663.4	chr1	206680863	206180863	207180863
MAPKAPK2	NM_004759.5	chr1	206858249	206358249	207358249
VAMP3	NM_004781.4	chr1	7831355	7331355	8331355
RORC	NM_005060.4	chr1	151778546	151278546	152278546
FCGR3A	NM_000569.8	chr1	161511548	161011548	162011548
IL10	NM_000572.3	chr1	206940946	206440946	207440946
TNFSF18	NM_005092.4	chr1	173008341	172508341	173508341
MUC1	NM_001018016.3	chr1	155158299	154658299	155658299
FASLG	NM_000639.3	chr1	172628242	172128242	173128242
IL12RB2	NM_001319233.1	chr1	67773046	67273046	68273046
FAIM3	NM_005449.5	chr1	207076661	206576661	207576661
IL19	NM_153758.4	chr1	206944117	206444117	207444117
DENND1B	NM_001300858.2	chr1	197521389	197021389	198021389
SCAMP3	NM_005698.4	chr1	155225771	154725771	155725771
TNFRSF9	NM_001561.6	chr1	7975930	7475930	8475930
TNFRSF18	NM_148901.2	chr1	1138887	638887	1638887
PTPN22	NM_015967.7	chr1	114356432	113856432	114856432
KIF21B	NM_001252100.2	chr1	200938517	200438517	201438517
IL23R	NM_144701.3	chr1	67632136	67132136	68132136
ADAM30	NM_021794.4	chr1	120436155	119936155	120936155
HSPA6	NM_002155.5	chr1	161494329	160994329	161994329
RIT1	NM_001256820.2	chr1	155867598	155367598	156367598
IL24	NM_006850.3	chr1	207070787	206570787	207570787
PIGR	NM_002644.4	chr1	207101866	206601866	207601866
FCRLA	NM_001366195.2	chr1	161677018	161177018	162177018
TNFSF4	NM_003326.5	chr1	173152869	172652869	173652869
TNFRSF4	NM_003327.4	chr1	1146719	646719	1646719
IL1R1	NM_001288706.2	chr2	102686849	102186849	103186849
GPR35	NM_001195381.2	chr2	241544846	241044846	242044846
DNMT3A	NR_135490.2	chr2	25450742	24950742	25950742
ARPC2	NM_152862.3	chr2	219081911	218581911	219581911
IL1R2	NM_004633.4	chr2	102608421	102108421	103108421
TMBIM1	NR_135643.1	chr2	219138914	218638914	219638914
CTDSP1	NM_182642.3	chr2	219264590	218764590	219764590
ATG16L1	NM_001363742.2	chr2	234160318	233660318	234660318
IL8RBP	NR_002712.1	chr2	218923877	218423877	219423877
BRE	NM_004899.5	chr2	28113595	27613595	28613595
SLC11A1	NM_000578.4	chr2	219246995	218746995	219746995
INPP5D	NM_001017915.3	chr2	233925051	233425051	234425051
CXCR1	NM_000634.3	chr2	219027563	218527563	219527563
PNKD	NM_001077399.3	chr2	219135241	218635241	219635241
FOSL2	NM_005253.4	chr2	28615724	28115724	29115724
ITGA4	NM_000885.6	chr2	182322112	181822112	182822112
KIAA1841	NM_001330432.2	chr2	61293005	60793005	61793005
ADCY3	NM_001320613.2	chr2	25042037	24542037	25542037
AHSA2	NR_152210.1	chr2	61404552	60904552	61904552
GCKR	NM_001486.4	chr2	27719705	27219705	28219705
THADA	NM_001271643.2	chr2	43779208	43279208	44279208
STAT1	NM_001384880.1	chr2	191833874	191333874	192333874
PLCL1	NM_006226.4	chr2	198669316	198169316	199169316
IL1RL1	NM_016232.5	chr2	102928022	102428022	103428022
REL	NM_001291746.2	chr2	61108708	60608708	61608708
SPRED2	NM_001128210.2	chr2	65537984	65037984	66037984
SP140	NM_001005176.3	chr2	231090450	230590450	231590450
IL1RL2	NM_001351446.2	chr2	102803773	102303773	103303773
IL18R1	NM_001371418.1	chr2	102972255	102472255	103472255
STAT4	NM_003151.4	chr2	191894301	191394301	192394301
ATOH8	NM_032827.7	chr2	85981113	85481113	86481113
UCN	NM_003353.4	chr2	27530267	27030267	28030267
IL18RAP	NM_003853.3	chr2	103035249	102535249	103535249
PFKFB4	NM_004567.4	chr3	48555116	48055116	49055116
MST1R	NM_001244937.3	chr3	49924434	49424434	50424434
IP6K2	NM_001146178.3	chr3	48730880	48230880	49230880
IP6K1	NM_153273.4	chr3	49761726	49261726	50261726
